SortedOrder,probe,associate,associate (continued),probe_cp,assoc_cp,cleanprobeassoc,Meaning_model,LargestCos,SecondLargestCos,CosDiff,R1,R1,R2,R3,Screened_for_Analysis_HumanCrit_SeeTab2,ScreenedForAlgoAnalysis,Meaning_R1,Meaning_BestGuess_R1,R2,Meaning_R2,Meaning_BestGuess_R2,R3,Meaning_R3,Meaning_BestGuess_R3,Comment_R1,Comment_R2,Comment_R3,Integrated_Comments_By_CR,R1_R2_R3_CertainAgreement,R1_R2_R3_Certain_orUndertainAgreement,DominantMeaning_Certain_or_Guess,BLANK,ALGO_HumanDominantMeaning_Agreement
361,boom,gun,,boom,gun,boom gun,2,0.375,0.264,0.111,lew,lew,kt,ka,1,1,1,1,kt,1,1,ka,1,1,,,,,1,1,1,,0
364,boom,pow,,boom,pow,boom pow,2,0.022,-0.03,0.052,lew,lew,kt,ka,1,1,1,1,kt,1,1,ka,1,1,,,,,1,1,1,,0
368,boring,class,,boring,class,boring class,1,0.28,0.026,0.254,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
369,boring,dead,,boring,dead,boring dead,1,0.312,0.046,0.266,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
372,boring,fun,,boring,fun,boring fun,1,0.374,0.346,0.028,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,1,1,,,,,0,0,2,,0
373,boring,interesting,,boring,interesting,boring interesting,1,0.407,0.325,0.081,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,1,1,,,,,0,0,2,,0
375,boring,lecture,,boring,lecture,boring lecture,1,0.18,0.057,0.123,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
376,boring,math,,boring,math,boring math,1,0.181,0.17,0.011,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
378,boring,school,,boring,school,boring school,1,0.296,-0.005,0.301,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
394,bound,run,,bound,run,bound run,4,0.468,0.393,0.076,lew,lew,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
397,bound,together,,bound,together,bound together,4,0.428,0.414,0.015,lew,lew,kt,ka,1,1,1,1,kt,1,1,ka,1,1,,,,,1,1,1,,0
403,bow,ed,,bow,ed,bow ed,2,0.146,0.084,0.062,aml,aml,kt,ka,1,1,?1,1,kt,2,2,ka,1,1,,,,,0,0,1,,0
405,bow,performance,,bow,performance,bow performance,2,0.411,0.316,0.095,aml,aml,kt,ka,1,1,1,1,kt,1,1,ka,1,1,,,,,1,1,1,,0
406,bow,present,,bow,present,bow present,1,0.47,0.411,0.059,aml,aml,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
426,bowl,saucer,,bowl,saucer,bowl saucer,2,0.071,0.058,0.013,aml,aml,kt,ka,1,1,1,1,kt,1,1,ka,1,1,,,,,1,1,1,,0
61,ash,cremation,,ash,cremation,ash,0,-2,-3,1,kt,kt,lew,aml,1,,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
431,bowl,super,,bowl,super,bowl super,1,0.376,0.34,0.035,aml,aml,kt,ka,1,1,2,2,kt,2,2,ka,2,2,,,,,1,1,2,,0
443,box,shoe,,box,shoe,box shoe,2,0.228,0.224,0.004,aml,aml,kt,ka,1,1,1,1,kt,1,1,ka,1,1,,,,,1,1,1,,0
450,boxing,gloves,,boxing,gloves,boxing gloves,1,0.304,0.303,0.001,aml,aml,kt,RS,1,1,2,2,kt,2,2,RS,2,2,,,,,1,1,2,,0
451,boxing,hit,,boxing,hit,boxing hit,1,0.299,0.192,0.107,aml,aml,kt,RS,1,1,2,2,kt,2,2,RS,2,2,,,,,1,1,2,,0
452,boxing,knock,out,boxing,knock out,boxing knock,1,0.243,0.163,0.08,aml,aml,kt,RS,1,1,2,2,kt,2,2,RS,2,2,,,,,1,1,2,,0
455,boxing,punch,,boxing,punch,boxing punch,1,0.31,0.23,0.081,aml,aml,kt,RS,1,1,2,2,kt,2,2,RS,2,2,,,,,1,1,2,,0
69,ban,abolish,,ban,abolish,ban,0,-2,-3,1,kt,kt,lew,aml,1,,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
456,boxing,ring,,boxing,ring,boxing ring,1,0.292,0.252,0.04,aml,aml,kt,RS,1,1,1,1,kt,2,2,RS,2,2,,,,,0,0,2,,0
