Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest	Twilleyp1	Twilleyp2	Twilleyp3	U
ham	3	2.772	18	1	2090.00	3	1	632.424	33	0.97	0.760599375	1	84.375	0.11	0.01		0.21
hamper	6	1.863	6	1.65	10793.00	5	2	720.25	32	1	0.5656272	0.133333333	72.6	0.56	0.03		0.49
hatch	5	2.816	8	1.5	7082.00	3	1	611.719	32	0.97	0.548868278	1	69.11111111	0.27	0.15		1
heel	4	2.578	7	1.5	4353.00	3	1	582.9	30	0.97	0.838520588	0.941176471	88.47058824	0.25	0.04		0.35
hide	4	3.551	10	1.35	4533.00	3	1	555.969	32	0.97	0.603767938	1	73.125	0.51	0.01		0.39
hop	3	2.99	12	1.15	1945.00	3	1	607.606	33	0.97	0.781257944	1	83.44444444	0.26	0.05	0.01	0.5
host	4	2.885	7	1.45	5604.00	4	1	570.576	33	1	0.703240188	1	74.625	0.21	0.04	0.02	0.63
hull	4	2.335	15	1.25	2942.00	3	1	708.7	30	0.94	0.7157016	0.333333333	80.66666667	0.22	0.13	0.02	1.27
husky	5	1.914	3	1.8	2077.00	5	2	729.935	31	0.97	0.3460472	0.866666667	63.33333333	0.46	0.08	0.07	1.46
incense	7	1.969	1	2.5	17643.00	6	2	762.667	30	0.88	0.758170063	0.875	84.25	0.32	0.02		0.36
intimate	8	2.551	0	2.3	25847.00	7	3	722.233	30	0.91	0.782362333	1	85.83333333	0.21	0.01		0.05
invalid	7	1.949	0	2.75	14266.00	7	3	686.219	32	0.94	0.621356125	0.125	76.5625	0.1	0.07		0.92
jam	3	2.84	14	1.2	1067.00	3	1	580.788	33	0.94	0.283333267	0.6	60.33333333	0.2	0.01	0.01	0.4
jar	3	2.628	14	1.2	3087.00	3	1	570.394	33	1	0.696866563	1	80.375	0.4	0.01		0.12
jerk	4	3.228	1	1.85	6579.00	3	1	590	32	0.94	0.773636529	0.823529412	81.94117647	0.09	0.11		0.93
jet	3	2.859	13	1.25	1501.00	3	1	548.97	33	0.97	0.837869615	0.923076923	88.15384615	0.45	0.04		0.42
junk	4	2.895	9	1.5	2322.00	4	1	647.469	32	0.97	0.961493263	1	96.68421053	0.19	0.01		0.09
key	3	3.647	3	1.8	1134.00	2	1	543.515	33	0.97	0.812494278	1	85.55555556	0.3	0.01	0.01	0.35
lap	3	2.838	18	1	2892.00	3	1	625.824	34	1	0.472882429	0.857142857	63.21428571	0.17	0.03	0.03	1.13
lash	4	1.935	13	1.1	4766.00	3	1	702.727	33	0.94	0.693284167	0.944444444	82.5	0.21	0.15	0.01	0.87
lead	4	3.628	12	1.2	6282.00	3	1	585.129	31	0.94	0.407529833	1	65.33333333	0.36	0.18		0.92
lean	4	2.724	11	1.25	8714.00	3	1	556.938	32	0.94	0.4265056	0.733333333	65.33333333	0.14	0.04		0.88
lime	4	2.228	13	1.2	5375.00	3	1	595.794	34	1	0.7686455	0.071428571	82.21428571	0.41	0.03		0.33
limp	4	2.274	7	1.45	4512.00	4	1	613.387	31	0.94	0.330817857	0.857142857	62.14285714	0.15	0.04		0.98
loaf	4	2.36	4	1.75	2121.00	3	1	585.552	29	0.91	0.472652938	0.9375	69.0625	0.82	0.03		0.32
lock	4	3.46	15	1.05	3060.00	3	1	583.419	31	0.91	0.655845765	1	76.76470588	0.33	0	0	0.13
log	3	2.786	14	1.05	1975.00	3	1	593.364	33	1	0.587499059	0.941176471	74.05882353	0.16	0.04	0.01	0.69
low	3	3.48	16	1	2155.00	2	1	560.455	33	1	0.945419	1	95	0.61			0
mark	4	3.622	13	1.2	4915.00	4	1	672.303	33	0.97	0.917428889	1	93	0.07	0.03	0.02	1.58
maroon	6	1.792	0	2	12320.00	5	2	863.25	28	0.88	0.674779071	0.928571429	79.07142857	0.17	0.12	0.01	1
match	5	3.402	8	1.55	7617.00	3	1	561.156	32	1	0.358907188	0.3125	63.5625	0.22	0.03	0.06	1.29
meal	4	3.168	12	1.15	6620.00	3	1	562.886	35	1	0.7383435	1	82.94444444	0.26	0.01		0.09
