word,human.type.biggest,human.type.p1,human.type.p2,human.type.p3,human.type.p4,human.type.p5,human.type.pUnseen,human.token.biggest,human.token.p1,human.token.p2,human.token.p3,human.token.p4,human.token.p5,human.token.pUnseen,algo.type.biggest,algo.type.p1,algo.type.p2,algo.type.p3,algo.type.p4,algo.type.p5,algo.type.pUnseen,algo.token.biggest,algo.token.p1,algo.token.p2,algo.token.p3,algo.token.p4,algo.token.p5,algo.token.pUnseen
loaf,62,37,62,0,0,0,0,68,68,31,0,0,0,0,62,37,62,0,0,0,0,68,68,31,0,0,0,0
rib,100,100,0,0,0,0,0,100,100,0,0,0,0,0,77,77,18,0,0,0,0,74,74,24,0,0,0,0
stable,84,84,15,0,0,0,0,65,35,65,0,0,0,0,69,69,30,0,0,0,0,71,29,71,0,0,0,0
clock,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,14,0,0,0,0,92,92,7,0,0,0,0
brook,83,83,16,0,0,0,0,96,96,3,0,0,0,0,83,83,16,0,0,0,0,96,96,3,0,0,0,0
trap,100,100,0,0,0,0,0,100,100,0,0,0,0,0,88,88,5,0,0,0,0,96,96,2,0,0,0,0
hatch,54,45,54,0,0,0,0,62,62,37,0,0,0,0,54,45,54,0,0,0,0,62,62,37,0,0,0,0
sash,100,100,0,0,0,0,0,100,100,0,0,0,0,0,94,94,5,0,0,0,0,97,97,2,0,0,0,0
alley,100,100,0,0,0,0,0,100,100,0,0,0,0,0,77,77,16,0,0,0,0,80,80,17,0,0,0,0
lead,57,42,57,0,0,0,0,54,45,54,0,0,0,0,64,35,64,0,0,0,0,56,43,56,0,0,0,0
palm,50,50,37,0,0,0,12,62,62,35,0,0,0,1,62,62,37,0,0,0,0,64,64,35,0,0,0,0
sack,88,88,11,0,0,0,0,98,98,1,0,0,0,0,88,88,0,11,0,0,0,95,95,0,4,0,0,0
counter,70,70,17,11,0,0,0,87,87,9,3,0,0,0,70,70,5,5,0,0,0,88,88,1,1,0,0,0
shiver,100,100,0,0,0,0,0,100,100,0,0,0,0,0,75,75,0,0,0,0,0,96,96,0,0,0,0,0
slug,86,86,13,0,0,0,0,88,88,11,0,0,0,0,73,73,26,0,0,0,0,68,68,31,0,0,0,0
spray,100,100,0,0,0,0,0,100,100,0,0,0,0,0,75,75,5,0,0,0,0,81,81,1,0,0,0,0
wrinkle,100,100,0,0,0,0,0,100,100,0,0,0,0,0,60,60,20,0,0,0,0,52,41,52,0,0,0,0
low,100,100,0,0,0,0,0,100,100,0,0,0,0,0,66,66,0,0,0,0,0,93,93,0,0,0,0,0
fit,95,95,4,0,0,0,0,95,95,5,0,0,0,0,95,95,0,0,0,0,0,95,95,0,0,0,0,0
bride,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
sole,55,55,33,11,0,0,0,70,20,70,9,0,0,0,44,44,33,11,0,0,0,70,13,70,9,0,0,0
jog,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
jet,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,0,0,0,0,0,98,98,0,0,0,0,0
quack,60,40,60,0,0,0,0,91,91,8,0,0,0,0,60,60,40,0,0,0,0,92,92,7,0,0,0,0
base,90,90,5,0,0,0,5,93,93,3,0,0,0,3,90,90,0,0,0,0,0,96,96,0,0,0,0,0
jam,58,41,58,0,0,0,0,83,16,83,0,0,0,0,58,41,58,0,0,0,0,83,16,83,0,0,0,0
nun,100,100,0,0,0,0,0,100,100,0,0,0,0,0,93,93,0,0,0,0,0,98,98,0,0,0,0,0
mow,100,100,0,0,0,0,0,100,100,0,0,0,0,0,57,42,57,0,0,0,0,91,91,8,0,0,0,0
