word,biggest,p1,p2,p3,p4,p5,pUnseen
slick,98,98,2,0,0,0,0
sling,99,99,1,0,0,0,0
slip,88,88,12,0,0,0,0
slug,66,66,34,0,0,0,0
smack,78,2,78,1,19,0,0
smelt,91,4,4,91,0,0,0
snuff,73,26,73,0,0,0,0
sock,77,77,23,0,0,0,0
soil,95,95,5,0,0,0,0
sole,88,88,6,5,0,0,1
sounding,98,98,2,0,0,0,0
sow,62,62,37,0,0,0,0
spade,55,55,44,0,0,0,0
span,96,96,0,0,0,0,3
spank,71,71,2,0,0,0,27
spat,56,42,56,1,0,0,0
spear,99,99,1,0,0,0,0
spell,62,31,62,7,0,0,0
sperm,96,96,4,0,0,0,0
spike,98,98,2,0,0,0,0
rally,100,0,0,0,0,0,0
spill,100,100,0,0,0,0,0
spit,98,98,2,0,0,0,0
spoke,99,99,1,0,0,0,0
spray,98,98,2,0,0,0,0
spruce,63,36,63,0,0,0,0
squash,71,71,29,0,0,0,0
stable,67,67,33,0,0,0,0
staff,100,100,0,0,0,0,0
stake,61,39,61,0,0,0,0
stalk,69,30,69,0,0,0,0
stall,64,64,36,0,0,0,0
stamina,100,100,0,0,0,0,0
staple,72,72,27,0,0,0,0
steep,96,96,3,0,0,0,1
steer,75,75,25,0,0,0,0
stem,88,88,5,6,0,0,0
stern,64,36,64,0,0,0,0
stick,74,25,74,0,0,0,1
stir,95,95,5,0,0,0,0
stole,98,98,2,0,0,0,0
stoop,71,71,27,0,0,0,2
stove,98,98,2,0,0,0,0
strain,75,75,24,0,0,0,1
strand,84,16,84,0,0,0,0
strapping,90,90,9,0,0,0,0
strip,65,65,35,0,0,0,0
stripe,100,100,0,0,0,0,0
repent,100,0,0,0,0,0,0
strut,88,88,11,0,0,0,0
stud,87,13,87,0,0,0,0
stunt,96,4,96,0,0,0,0
supply,100,100,0,0,0,0,0
swallow,97,97,3,0,0,0,0
swarm,98,98,1,0,0,0,0
tacky,91,9,91,0,0,0,0
tag,74,74,26,0,0,0,0
tanner,50,25,50,0,0,0,25
tap,54,46,54,0,0,0,0
tar,100,100,0,0,0,0,0
tart,87,12,87,0,0,0,0
tattoo,100,100,0,0,0,0,0
tear,79,17,79,0,0,0,3
tee,83,16,83,0,0,0,0
temple,95,95,5,0,0,0,0
temporal,59,40,59,0,0,0,0
tend,71,71,29,0,0,0,0
tender,86,86,11,3,0,0,0
tense,87,87,13,0,0,0,0
test,100,100,0,0,0,0,0
thinner,72,28,72,0,0,0,0
tier,97,97,0,0,0,0,2
tip,74,17,9,74,0,0,0
tire,83,17,83,0,0,0,0
tit,84,2,84,0,0,0,14
titanic,85,14,85,0,0,0,0
toast,55,55,45,0,0,0,0
toaster,98,98,2,0,0,0,0
toil,74,74,25,0,0,0,0
toll,91,9,91,0,0,0,0
tot,70,70,29,0,0,0,0
tow,99,99,0,0,0,0,1
tower,100,100,0,0,0,0,0
trace,99,99,1,0,0,0,0
tract,95,95,4,0,0,0,0
trap,100,100,0,0,0,0,0
wax,70,70,30,0,0,0,0
truck,99,99,1,0,0,0,0
tuna,99,99,0,0,0,0,1
twit,95,4,95,0,0,0,0
undone,82,18,82,0,0,0,0
utter,74,26,74,0,0,0,0
van,72,11,72,0,0,0,17
vault,98,98,2,0,0,0,0
verse,98,98,0,0,0,0,2
vet,91,91,9,0,0,0,0
vice,94,94,6,0,0,0,0
waffle,97,97,2,0,0,0,0
weed,100,100,0,0,0,0,0
whale,100,100,0,0,0,0,0
wind,74,74,26,0,0,0,0
wise,97,97,2,0,0,0,1
wit,99,99,1,0,0,0,0
woof,95,4,95,0,0,0,0
wound,79,79,21,0,0,0,0
wrinkle,94,94,5,0,0,0,0
yard,94,6,94,0,0,0,0
yen,87,87,13,0,0,0,0
zip,46,17,46,0,0,0,37
slew,100,0,0,0,0,0,0
hooker,99,0,99,1,0,0,0
hull,100,0,100,0,0,0,0
ringer,97,2,97,0,0,0,0
sec,100,0,100,0,0,0,0
taxis,100,0,100,0,0,0,0
tick,100,0,0,0,0,0,0
lit,100,0,0,0,0,0,100
rack,100,0,0,0,0,0,100
