Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest
mortar	6	2.072	1	2.15	9563.00	5	2	693.172	29	0.88	0.597431071	0.571428571	76.07142857
mount	5	2.777	2	1.8	7513.00	4	1	675.414	29	0.88	0.752942667	0.944444444	83.61111111
mow	3	2.072	15	1.15	1650.00	2	1	736.333	27	0.77	0.942787533	1	95
mule	4	2.555	7	1.6	4807.00	4	1	575.765	34	1	0.968573889	1	97.27777778
multiply	8	2	1	3.4	9386.00	8	3	677.941	34	1	0.730317867	1	82.4
mum	3	3.045	8	1.55	986.00	3	1	766.462	26	0.81	0.770267286	0.642857143	81.07142857
mush	4	2.158	14	1.25	3119.00	3	1	729.9	30	0.88	0.537127125	0.75	72.75
nag	3	2.049	14	1.25	2211.00	3	1	708.147	34	1	0.884699867	1	91.53333333
nap	3	2.81	15	1.1	2300.00	3	1	604.118	34	1	0.9349016	1	94.6
net	3	2.9	14	1.05	3629.00	3	1	596.355	31	0.97	0.57086725	0.8125	73.4375
nip	3	2.22	13	1.25	2044.00	3	1	710.741	27	0.84	0.788755667	1	84.16666667
noodle	6	2.173	2	2.25	5988.00	4	2	697.212	33	0.94	0.913112357	1	92
novel	5	2.711	2	1.8	4975.00	4	2	657.088	34	1	0.610680467	1	76.13333333
nun	3	2.551	10	1.4	2127.00	3	1	604.344	32	0.97	0.944815941	1	95.29411765
opera	5	2.942	0	2	11686.00	4	2	617.364	33	0.97	0.985850385	1	98.69230769
ounce	5	2.316	1	1.75	6561.00	3	1	616.903	31	1	0.980017625	1	98.125
pace	4	2.689	13	1	4194.00	3	1	645.387	31	0.97	0.924284368	1	93.68421053
pack	4	3.35	16	1.15	3504.00	3	1	593.303	33	1	0.741469353	0.941176471	84.05882353
pad	3	2.619	18	1	2149.00	3	1	609.563	32	0.94	0.703317118	1	79.11764706
page	4	3.282	11	1.35	3093.00	3	1	627.719	32	0.97	0.792494688	0.9375	85.875
painter	7	2.538	3	1.8	22487.00	5	2	656.765	34	1	0.946697412	1	95.82352941
palm	4	2.83	5	1.55	4267.00	4	1	617.903	31	0.94	0.469849941	1	68.52941176
paste	5	1.945	8	1.35	10510.00	4	1	597.242	33	1	0.922923733	1	93.93333333
pat	3	2.97	22	1	5279.00	3	1	634.781	32	0.97	0.841738	1	90
pawn	4	2.346	6	1.5	1489.00	3	1	657.212	33	0.97	0.270795385	0.769230769	60
peaked	6	1.799	3	1.85	9192.00	4	1	694.452	31	0.97	0.785618133	1	85.86666667
peck	4	2.258	12	1.3	3907.00	3	1	612.061	33	0.94	0.9094814	0	93
peel	4	2.438	9	1.4	4267.00	3	1	626.273	33	1	0.880945333	1	91.06666667
peep	4	2.356	11	1.35	3207.00	3	1	626.063	32	0.94	0.543114188	0.9375	70.8125
peer	4	1.898	12	1.2	8695.00	3	1	638.438	32	0.94	0.465811923	0.923076923	69.23076923
pen	3	3.101	19	1	5479.00	3	1	610.882	34	1	0.652280333	1	78.13333333
perk	4	1.863	9	1.45	8095.00	3	1	657.065	31	0.94	0.552000308	0.384615385	71.15384615
pet	3	3.013	21	1	3017.00	3	1	616.529	34	1	0.900898056	1	92.77777778
piano	5	3.104	0	1.95	6223.00	5	3	560.844	32	0.97	0.868556143	1	91.42857143
pie	3	3.166	10	1.1	2074.00	2	1	582.094	32	0.97	0.9890838	1	99
pike	4	2.371	10	1.35	1809.00	3	1	651.516	31	0.91	0.507644214	0.357142857	57.85714286
pile	4	2.828	14	1.15	5669.00	3	1	576.839	31	0.94	0.757669	0.941176471	78.64705882
pine	4	2.501	16	1	9991.00	3	1	686.706	34	1	0.6591534	0.933333333	77
pink	4	3.162	14	1.15	8002.00	4	1	568.824	34	1	0.974263389	1	97.61111111
pipe	4	2.996	6	1.45	3010.00	3	1	671.485	33	0.97	0.794753056	1	88.33333333
pit	3	2.829	16	1	2998.00	3	1	606.909	33	1	0.612861267	0.733333333	75
pitch	5	2.899	7	1.55	4754.00	3	1	614.176	34	1	0.850500947	1	88.15789474
pitcher	7	2.22	2	1.85	12665.00	4	2	597.941	34	1	0.320728412	0.647058824	62.64705882
plane	5	3.688	5	1.4	8554.00	4	1	643.939	33	0.97	0.770883647	0.882352941	83.47058824
plight	6	1.806	4	1.75	5154.00	4	1	762.182	22	0.69	0.8025062	0.866666667	87.33333333
plot	4	2.772	7	1.45	3151.00	4	1	623.206	34	1	0.520722067	0.8	68
plump	5	1.881	4	1.65	2866.00	5	1	576.727	33	1	0.756661063	1	83.625
pod	3	2.612	11	1.25	1610.00	3	1	679.621	29	0.91	0.649749	0.8	79.46666667
poker	5	2.914	5	1.65	8364.00	4	2	636.563	32	0.94	0.549681882	0.294117647	73.52941176
policy	6	3.14	1	2.45	7589.00	6	3	700.903	31	0.97	0.248179941	0.882352941	59.52941176
pool	4	3.38	9	1.45	3299.00	3	1	581.061	33	1	0.399473333	0.833333333	64.5
poop	4	2.456	10	1.45	2752.00	3	1	712.889	27	0.82	0.586243286	0	65.71428571
pop	3	3.537	15	1	1826.00	3	1	562.424	33	1	0.318919684	0.578947368	50.52631579
port	4	2.87	12	1.25	4832.00	4	1	647.182	33	0.97	0.363727688	0.8125	47.5
pose	4	2.542	13	1	3951.00	3	1	711.727	33	0.94	0.667408778	0.944444444	78.61111111
post	4	3.219	12	1.25	5485.00	4	1	612.273	33	0.97	0.179748813	0.5625	42.875
pot	3	3.061	17	1	1980.00	3	1	535.794	34	1	0.332199714	0.714285714	62.14285714
pound	5	2.851	7	1.55	6368.00	4	1	591.03	33	0.97	0.328393765	0.235294118	50.52941176
pout	4	1.748	8	1.4	3692.00	3	1	872.125	24	0.71	0.981836875	1	98.5
prayer	6	2.906	3	1.75	11221.00	4	1	593.939	33	1	0.723540688	1	83.4375
present	7	3.659	1	1.8	19240.00	6	2	654.125	32	0.97	0.077380929	0.857142857	52.85714286
press	5	3.487	2	1.9	11946.00	4	1	570.059	34	1	0.896636647	1	91.41176471
prior	5	2.626	0	1.95	9480.00	4	1	632.438	32	0.97	0.796444938	1	86.875
pro	3	2.859	1	1.65	3487.00	3	1	693	33	0.97	0.513568313	0.3125	71.8125
prop	4	2.277	10	1.35	4238.00	4	1	748.533	30	0.91	0.428734882	0.647058824	61.47058824
prune	5	1.881	2	1.75	6139.00	4	1	709.333	33	0.97	0.443560267	0.933333333	68
pry	3	2.324	8	1.45	1978.00	3	1	650.467	30	0.86	0.536363	0.5	72.1875
pulse	5	3.08	1	1.9	3877.00	4	1	576.735	34	1	0.937380235	1	95
pump	4	2.81	10	1.35	1904.00	4	1	610.364	33	0.97	0.710876	1	81.875
punch	5	3.18	5	1.65	5167.00	4	1	655.969	32	0.94	0.4373358	0.733333333	57.66666667
pupil	5	2.207	1	2.1	3054.00	5	2	626.97	33	0.97	0.509831133	0.266666667	69.93333333
putter	6	1.851	7	1.55	12567.00	4	2	732.286	28	0.82	0.693923625	0.1875	77.8125
quack	5	2.375	2	1.85	3385.00	4	1	692.323	31	0.91	0.566277375	0.6875	75.0625
quail	5	1.839	0	2	3330.00	4	1	706.839	31	0.94	0.756419733	0.933333333	83.33333333
race	4	3.499	14	1	6206.00	3	1	564.182	33	1	0.122548941	0.882352941	54.11764706
rack	4	2.6	14	1.1	5516.00	3	1	622.406	32	1	0.834921	1	80
raft	4	2.382	6	1.4	3502.00	4	1	660.677	31	0.91	0.962279063	1	96.75
rag	3	2.389	19	1	3894.00	3	1	669.516	31	0.97	0.518822333	1	63.6
rail	4	2.369	13	1.1	5461.00	3	1	619.606	33	0.97	0.741971	1	82
rake	4	2.185	16	1.05	4339.00	3	1	612.862	29	0.91	0.7717622	1	84.15
rally	5	2.567	4	1.7	9335.00	4	2	643.065	31	0.91	0.769725222	0.944444444	85.83333333
rank	4	2.638	12	1.1	6879.00	4	1	623.242	33	1	0.595720316	1	74.84210526
rap	3	2.824	19	1	3983.00	3	1	705.424	33	1	0.747123	0.0625	80.3125
rape	4	2.912	14	1	5646.00	3	1	619.6	35	1	0.927934933	1	93.53333333
rare	4	3.037	16	1.1	10617.00	3	1	566.97	33	0.97	0.449431263	1	67.36842105
rash	4	2.614	11	1.25	5857.00	3	1	662.091	33	0.97	0.363122944	0.555555556	62.5
rate	4	3.105	20	1	11686.00	3	1	579.345	29	0.91	0.764761333	0.944444444	84.16666667
rating	6	2.053	9	1.45	22882.00	5	2	632.485	33	0.97	0.969911667	1	97.33333333
raven	5	2.204	2	1.75	9210.00	4	2	625.645	31	1	0.711856313	0.75	81.75
ray	3	3.696	19	1	3533.00	2	1	599	31	0.94	0.657681267	1	78.8
rear	4	2.803	16	1.1	9322.00	3	1	647.853	34	1	0.505162188	1	70
reef	4	2.312	4	1.7	5859.00	3	1	668.677	31	0.91	0.782879857	1	87.14285714
reel	4	2.223	8	1.35	7146.00	3	1	627.063	32	0.91	0.777058882	0.882352941	82.11764706
refrain	7	2.021	0	2.6	16291.00	6	2	640.6	35	1	0.410437667	1	66.66666667
refund	6	2.152	0	1.95	9016.00	6	2	674.765	34	1	0.344180813	1	65
refuse	6	3.03	3	1.7	8897.00	6	2	627.515	33	0.97	0.662396188	1	78.75
rejoin	6	1.813	0	2.35	11971.00	5	2	711.938	32	0.97	0.845213786	1	89.85714286
relief	6	2.872	3	2.05	10724.00	5	2	600.656	32	0.97	0.838421	1	88.76470588
rent	4	3.246	15	1.2	11376.00	4	1	607.906	32	0.97	0.887482526	1	90
repair	6	2.654	1	2.15	8042.00	5	2	699.125	32	0.94	0.956950941	1	96.29411765
repent	6	2.093	5	1.75	13713.00	6	2	710.484	31	0.91	0.898727867	1	92.93333333
retainer	8	2.037	2	2.3	24024.00	6	3	683.212	33	0.97	0.665141571	0.928571429	79
revere	6	1.763	3	1.7	17627.00	5	2	693.233	30	0.91	0.863231692	1	90
rib	3	2.48	11	1.35	3268.00	3	1	621.912	34	1	0.9055556	1	92.33333333
riddle	6	2.366	3	1.7	7654.00	4	2	663.633	30	0.94	0.809611125	1	87.5
rifle	5	2.872	0	1.7	7266.00	4	2	661.294	34	1	0.803247571	1	85.21428571
ring	4	3.675	10	1.3	13688.00	3	1	545.333	33	1	0.135531067	0.933333333	54.33333333
ringer	6	1.935	9	1.45	21061.00	4	2	665.882	34	1	0.512655133	0.333333333	70
rip	3	3.012	16	1	3400.00	3	1	619.182	33	0.97	0.611549533	1	74.53333333
roach	5	2.134	3	1.8	5544.00	3	1	648.533	30	0.91	0.857723467	1	89.53333333
rock	4	3.643	12	1.2	3734.00	3	1	543.879	33	1	0.142085895	0.842105263	54.47368421
rocket	6	2.782	7	1.6	5986.00	5	2	627.125	32	0.94	0.985489529	1	98.64705882
rocky	5	2.907	2	1.85	3827.00	4	2	551.333	33	1	0.446607842	0.789473684	67.63157895
rook	4	1.857	10	1.4	3298.00	3	1	774.28	25	0.81	0.6574755	0.285714286	80.35714286
root	4	2.728	12	1.2	3974.00	3	1	634.371	35	1	0.389223053	0.526315789	57.15789474
rose	4	3.432	18	1	5019.00	3	1	594.152	33	1	0.312111278	0.944444444	62.5
row	3	3.128	17	1	2829.00	2	1	641.667	33	1	0.294290941	0.823529412	55.52941176
rubber	6	2.854	3	1.8	8236.00	4	2	662.588	34	1	0.956178067	1	96.33333333
rung	4	1.857	9	1.45	6439.00	3	1	760.769	26	0.76	0.628917333	0.8	76.33333333
rush	4	3.205	13	1.25	3427.00	3	1	628.167	30	0.97	0.895711444	1	91.38888889
rut	3	1.898	14	1.05	1606.00	3	1	669.821	28	0.8	0.718971	0.785714286	82.5
rye	3	2.328	7	1.6	816.00	2	1	672.939	33	1	0.984544643	1	98.57142857
sack	4	2.82	13	1	3142.00	3	1	677.469	32	0.97	0.595559167	1	72.22222222
sage	4	1.954	14	1.05	2731.00	3	1	659.03	33	1	0.4975494	0.533333333	70.66666667
sap	3	2.253	21	1	1609.00	3	1	756.308	26	0.81	0.675841467	1	79.13333333
sash	4	1.771	10	1.25	3483.00	3	1	731.182	22	0.67	0.780357357	0.928571429	84.42857143
scale	5	2.687	6	1.55	9160.00	4	1	576.879	33	0.97	0.523865	0	63.0625
scarf	5	2.38	3	1.8	5779.00	5	1	696.242	33	1	0.549137143	0.928571429	69.71428571
scram	5	2.255	2	1.8	5728.00	5	1	842.143	28	0.85	0.916218063	0.9375	94
scrap	5	2.35	3	1.7	5656.00	5	1	624.515	33	0.97	0.366522313	0.9375	65.3125
scrub	5	2.504	1	1.95	2714.00	5	1	614.647	34	1	0.470072765	0.882352941	68.82352941
seal	4	2.877	15	1.1	6910.00	3	1	599.727	33	0.97	0.392951526	0.789473684	64.21052632
sec	3	2.944	8	1.5	3333.00	3	1	794.6	20	0.59	0.765698917	0	83.33333333
settle	6	3.331	4	1.6	7893.00	4	2	718.781	32	1	0.930514824	1	94.11764706
sewer	5	2.382	4	1.65	8986.00	3	1	658.828	29	0.91	0.742252	1	84.21428571
shag	4	1.991	7	1.55	3224.00	3	1	707.833	30	0.86	0.619841286	0.785714286	76.71428571
shark	5	2.884	8	1.5	5675.00	4	1	614.719	32	0.97	0.738630882	1	81.64705882
shed	4	2.749	6	1.5	7529.00	3	1	628.813	32	0.97	0.31688995	0.9	62
sheer	5	2.369	7	1.6	10076.00	3	1	706.563	32	0.97	0.744709067	0.933333333	84
sheet	5	2.773	6	1.65	5268.00	3	1	617.063	32	1	0.822235	1	89.35294118
shin	4	2.199	7	1.5	9276.00	3	1	795.88	25	0.76	0.906759786	1	94.42857143
shiver	6	1.898	2	1.85	11317.00	4	2	732.226	31	0.94	0.878361714	1	90.21428571
shock	5	3.167	6	1.55	4080.00	3	1	578.114	35	1	0.798872176	1	83.76470588
shook	5	2.483	4	1.7	3644.00	3	1	683.536	28	0.85	0.940285333	1	95.33333333
shore	5	3.006	13	1.15	9785.00	3	1	613.235	34	1	0.8592895	1	89.16666667
shower	6	3.322	2	1.8	9821.00	3	1	653.455	33	0.97	0.8921132	1	91.06666667
shy	3	2.972	9	1.5	1544.00	2	1	628.697	33	1	0.899798529	1	93.82352941
sin	3	2.911	18	1	8593.00	3	1	585.5	34	1	0.883189067	1	91.26666667
size	4	3.372	4	1.65	2798.00	3	1	534.212	33	1	0.959244059	1	96.41176471
skate	5	2.48	2	1.7	8916.00	4	1	581.03	33	0.97	0.828834125	1	88.9375
skipper	7	2.719	3	1.8	9509.00	5	2	576.765	34	1	0.551653188	0.625	73.75
slack	5	2.481	7	1.5	4855.00	4	1	577.152	33	0.97	0.922669647	1	94.05882353
slam	4	2.473	14	1.2	3394.00	4	1	616.765	34	0.97	0.9572012	1	96.33333333
slew	4	1.833	8	1.55	4155.00	3	1	728.63	27	0.77	0.711574083	0.666666667	77.5
slick	5	2.545	7	1.55	6412.00	4	1	604.242	33	0.97	0.473599938	0.9375	70
sling	5	2.072	8	1.5	13992.00	4	1	744.069	29	0.88	0.928796385	1	94.23076923
slip	4	3.121	11	1.3	3704.00	4	1	542.758	33	1	0.75943925	1	82.8125
slug	4	2.405	7	1.5	1328.00	4	1	633.469	32	0.97	0.521219	0.8125	71.5625
smack	5	2.687	5	1.6	4612.00	4	1	581.667	33	0.97	0.626810176	0.058823529	73.47058824
smelt	5	1.724	1	1.85	4372.00	5	1	724.586	29	0.88	0.623479357	0.214285714	73.64285714
snuff	5	2.013	3	1.85	966.00	4	1	689.645	31	0.94	0.602582125	0.8125	75.125
sock	4	2.662	13	1.15	2373.00	3	1	564.441	34	1	0.555422214	0.928571429	72.5
soil	4	2.6	6	1.55	2564.00	3	1	586.656	32	1	0.37251975	0.875	63.4375
sole	4	2.43	11	1.3	5496.00	3	1	616.788	33	0.94	0.466655611	0.444444444	66.94444444
sounding	8	2.288	5	1.75	18766.00	6	2	692.091	33	0.97	0.896663625	0.9375	93.25
sow	3	1.996	17	1	1468.00	2	1	734.1	30	0.94	0.699473077	0.692307692	80
spade	5	2.076	4	1.75	5579.00	4	1	657.594	32	0.97	0.594246188	0.4375	74.375
span	4	2.009	10	1.2	5410.00	4	1	648.4	35	0.97	0.900152143	1	93.21428571
spank	5	2.241	6	1.6	5696.00	5	1	565.121	33	0.97	0.909256571	1	93.42857143
spat	4	1.903	11	1.2	6108.00	4	1	736.214	28	0.82	0.682089313	0.5	76
spear	5	2.367	4	1.65	7272.00	4	1	594.6	30	0.88	0.936508	0.916666667	95
spell	5	3.272	4	1.7	5843.00	4	1	564.606	33	1	0.337768556	0.888888889	53.16666667
sperm	5	2.504	0	1.95	9237.00	4	1	685.424	33	0.94	0.8826485	1	91.71428571
spike	5	2.797	7	1.5	2638.00	4	1	674.971	34	1	0.874569938	1	91.5
spill	5	2.637	6	1.55	4699.00	4	1	575.939	33	0.97	0.968552125	1	97.1875
spit	4	2.995	6	1.5	3827.00	4	1	590.688	32	0.97	0.7966745	1	85.25
spoke	5	3.295	5	1.6	3031.00	4	1	645.545	33	1	0.501149875	1	70
spray	5	2.693	2	1.7	5706.00	4	1	679.412	34	1	0.949074083	1	95.83333333
spruce	6	1.756	0	2.1	4913.00	5	1	681	30	0.94	0.501517733	0.6	70.66666667
squash	6	2.35	0	1.9	3821.00	5	1	600.515	33	0.97	0.455676267	0.933333333	68
stable	6	2.829	2	1.65	11044.00	5	2	608.424	33	0.97	0.419950267	0.933333333	66.53333333
staff	5	3.213	2	1.85	6077.00	4	1	518.212	33	0.97	0.856516313	1	88.75
stake	5	2.928	10	1.3	6671.00	4	1	650.219	32	1	0.413139389	0.722222222	66.11111111
stalk	5	1.94	5	1.7	8612.00	4	1	645.667	33	1	0.513255278	0.333333333	69.16666667
stall	5	2.661	5	1.65	10123.00	4	1	643.813	32	0.94	0.276653053	0.631578947	59.57894737
stamina	7	1.914	0	2.35	16081.00	7	3	819.633	30	0.91	0.892909313	1	93.125
staple	6	1.763	1	1.8	10508.00	5	2	573.941	34	0.97	0.5897165	0.9375	75
steep	5	2.1	6	1.6	9504.00	4	1	669.633	30	0.94	0.838724375	1	88.4375
steer	5	2.486	5	1.65	14992.00	4	1	669.125	32	0.97	0.805986375	0.875	85.625
stem	4	2.061	4	1.7	8971.00	4	1	565.818	33	0.97	0.615612333	0.933333333	74
stern	5	2.516	1	1.9	14595.00	4	1	651.724	29	0.94	0.517031412	1	70.17647059
stick	5	3.695	6	1.5	11576.00	4	1	606.152	33	1	0.201768188	1	57.8125
stir	4	2.48	1	1.8	9151.00	3	1	675.824	34	0.97	0.943689647	1	95.05882353
stole	5	3.433	6	1.6	9645.00	4	1	658.406	32	0.94	0.9104155	0.9375	93.4375
stoop	5	2.1	7	1.6	6608.00	4	1	739.355	31	0.91	0.48398725	0.4375	67.125
stove	5	2.589	7	1.55	7373.00	4	1	664.853	34	1	0.872647714	1	90.28571429
strain	6	2.559	2	1.75	16177.00	5	1	712.455	33	1	0.709791778	0.944444444	80.55555556
strand	6	1.978	0	1.9	13608.00	6	1	695.091	33	0.94	0.3584656	0.666666667	64.66666667
strapping	9	1.716	1	2.05	21377.00	7	2	687.5	32	0.94	0.662823733	0.533333333	78.33333333
strip	5	2.904	1	1.8	8653.00	5	1	773.879	33	0.94	0.301549316	0.947368421	60.52631579
stripe	6	1.875	5	1.55	10316.00	5	1	647.182	33	0.97	0.7561834	1	83.53333333
strut	5	1.909	2	1.9	6859.00	5	1	733	29	0.85	0.864745867	1	89.33333333
stud	4	2.55	4	1.7	4661.00	4	1	626.452	31	0.94	0.515253765	0.235294118	70
stunt	5	2.672	4	1.7	9178.00	5	1	668.906	32	0.91	0.315378111	0.444444444	61.94444444
supply	6	2.979	1	2.4	4092.00	5	2	682.097	31	0.94	0.887605929	1	91.42857143
swallow	7	2.813	1	2.1	7696.00	5	2	703.25	32	0.97	0.700039	1	80
swarm	5	1.839	0	1.85	4408.00	5	1	776.818	33	0.97	0.901453357	1	92.07142857
tacky	5	2.13	2	1.85	4376.00	4	2	674.094	32	1	0.505594429	0.357142857	70.71428571
tag	3	2.851	18	1	2661.00	3	1	564.152	33	1	0.3913065	0.571428571	65.35714286
tanner	6	2.277	4	1.75	14163.00	4	2	686.455	33	1	0.832205533	0.066666667	87
tap	3	2.877	19	1	2750.00	3	1	597.879	33	1	0.383382938	0.875	62.5
tar	3	2.207	16	1	4842.00	3	1	626	31	0.94	0.976315733	1	98
tart	4	2.09	12	1.2	5845.00	4	1	663.656	32	0.94	0.435222813	0.8125	65.9375
tattoo	6	2.786	0	2.8	9022.00	4	2	629.939	33	1	0.983823143	1	98.5
taxis	5	1.724	1	1.85	4875.00	6	2	651.179	28	0.82	0.847938133	0.133333333	89.8
tear	4	3.139	16	1	9175.00	3	1	580.969	32	0.97	0.282212941	0.529411765	60.88235294
tee	3	2.045	13	1.15	5265.00	2	1	776.862	29	0.88	0.831665563	0.25	88.375
temple	6	2.952	0	1.95	10477.00	5	2	651.258	31	0.97	0.454944625	0.875	65.5
temporal	8	1.845	0	2.95	16287.00	8	3	674.625	32	1	0.499828533	0.533333333	71
tend	4	2.797	9	1.3	9973.00	4	1	651.706	34	0.97	0.311327533	0.933333333	61.33333333
tender	6	2.657	7	1.65	18736.00	5	2	664.333	33	0.94	0.338217235	0.882352941	53.94117647
tense	5	2.719	4	1.65	12098.00	4	1	653.438	32	0.97	0.451285588	0.823529412	67.05882353
test	4	3.632	13	1.25	12449.00	4	1	520.625	32	0.94	0.962042313	1	95.9375
thinner	7	2.065	2	2.05	18107.00	4	2	637.625	32	0.97	0.759553063	0	82.1875
tick	4	2.569	10	1.25	8011.00	3	1	750.606	33	0.97	0.545041056	0.777777778	69.55555556
tier	4	1.74	3	1.55	12192.00	3	1	755.652	23	0.7	0.9204914	1	93.6
tip	3	3.149	16	1.1	5303.00	3	1	615.788	33	0.97	0.260863125	0.3125	46.5625
tire	4	2.801	11	1.25	10128.00	3	1	591.344	32	0.94	0.310253875	0.5625	61.5625
tit	3	2.236	14	1.05	6954.00	3	1	769.308	26	0.79	0.816174357	0	86.07142857
titanic	7	2.111	0	2.75	16124.00	7	3	587.912	34	1	0.767963412	0	83.82352941
toast	5	3.233	3	1.85	6803.00	4	1	600.882	34	1	0.313303444	0.888888889	61.11111111
toaster	7	2.299	3	1.85	17360.00	5	2	595.125	32	1	0.805267571	1	87.42857143
toil	4	1.716	7	1.6	3148.00	3	1	650.241	29	0.88	0.463667286	0.857142857	69.64285714
toll	4	2.236	12	1.25	4281.00	3	1	666.724	29	0.85	0.687079632	0.105263158	79.73684211
tot	3	1.74	17	1	2271.00	3	1	724.714	14	0.44	0.677514063	0.875	80.9375
tow	3	2.471	17	1	2052.00	2	1	716.037	27	0.87	0.866754133	1	91.2
tower	5	3.067	10	1.45	8698.00	3	1	651.219	32	0.94	0.936912125	1	94.8125
trace	5	2.996	6	1.45	7894.00	4	1	603.879	33	1	0.924532471	1	93.94117647
tract	5	1.869	3	1.75	7401.00	5	1	649.2	30	0.88	0.818836143	0.928571429	87.78571429
trap	4	3.085	5	1.5	5671.00	4	1	593.719	32	0.94	0.895874444	1	89.94444444
troll	5	2.143	1	1.75	6746.00	4	1	681.2	30	0.88	0.728463353	0.176470588	80.58823529
truck	5	3.57	4	1.65	3738.00	4	1	567.147	34	1	0.8445068	1	89.26666667
tuna	4	2.612	2	1.9	4022.00	4	2	590.452	31	0.91	0.9816764	1	98.33333333
twit	4	1.857	2	1.75	2757.00	4	1	865.462	26	0.76	0.7309676	0.066666667	82.53333333
undone	6	2.1	0	2.4	11085.00	5	2	686.032	31	0.97	0.228181333	0.722222222	58.72222222
utter	5	2.412	1	1.7	12169.00	3	2	740.515	33	0.97	0.347619067	0.6	61.33333333
van	3	3.422	9	1.4	3960.00	3	1	555.171	35	1	0.935498063	0	94.3125
vault	5	2.789	1	1.9	2351.00	4	1	641.581	31	0.94	0.600051053	0.526315789	73.42105263
verse	5	2.378	3	1.7	11573.00	3	1	746.424	33	0.97	0.691945733	0.933333333	80.33333333
vet	3	2.473	13	1.2	3265.00	3	1	665.75	32	0.97	0.305788941	0.941176471	61.17647059
vice	4	2.978	8	1.35	4701.00	3	1	671.242	33	0.97	0.756594714	0.928571429	85
waffle	6	2.037	2	2.35	5188.00	4	2	674.471	34	1	0.810581938	0.9375	86.875
wax	3	2.665	9	1.45	758.00	4	1	638.152	33	0.97	0.705070733	0.933333333	80.26666667
weed	4	2.779	11	1.3	5839.00	3	1	583.939	33	0.94	0.951496294	0.941176471	96.76470588
whale	5	2.76	3	1.75	7857.00	4	1	649.914	35	1	0.648129867	0.8	75.8
wind	4	3.481	12	1.25	9125.00	4	1	559.156	32	1	0.461327533	0.933333333	69
wise	4	3.162	10	1.45	5258.00	3	1	650.971	34	1	0.801354529	0.941176471	86.47058824
wit	3	2.481	11	1.1	2645.00	3	1	658.607	28	0.85	0.927689667	1	94.44444444
woof	4	2.152	7	1.6	1464.00	3	1	720.393	28	0.85	0.922221188	0	94.375
wound	5	3.132	8	1.55	5631.00	4	1	575.941	34	1	0.614949722	0.888888889	76
wrinkle	7	1.987	2	2.1	13727.00	5	2	652.471	34	1	0.94258875	1	95.625
yard	4	3.107	6	1.65	3707.00	4	1	623.469	32	1	0.240299684	0.684210526	58.47368421
yen	3	2.496	14	1.25	3998.00	3	1	792.261	23	0.68	0.848356	0.785714286	90
zip	3	2.591	10	1.5	651.00	3	1	586.938	32	0.94	0.5035096	0.4	70.66666667
