Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest
bossy	5	1.954	1	1.9	3407.00	4	2	677.419	31	0.97	0.953638882	1	95.94117647
bound	5	2.974	7	1.5	6057.00	4	1	639.606	33	1	0.241176471	0.705882353	41.17647059
bow	3	3.015	18	1	1450.00	2	1	657.294	34	1	0.380111211	0.842105263	53.94736842
bowl	4	3.039	9	1.35	1535.00	3	1	602.03	33	0.94	0.464453667	0.944444444	66.61111111
bowler	6	1.833	2	1.85	11113.00	4	2	697.25	28	0.85	0.592647563	0.9375	75.625
bowman	6	2.263	0	2.5	6630.00	5	2	872.5	24	0.73	0.596144625	0.875	75.9375
box	3	3.661	10	1.4	860.00	4	1	697.029	34	1	0.430491533	0.933333333	63
boxing	6	2.569	3	1.85	11819.00	6	2	551.5	32	0.97	0.821031467	0.066666667	87.93333333
brake	5	2.486	4	1.6	4914.00	4	1	660.114	35	1	0.973758944	1	95.72222222
bride	5	3.092	3	1.55	6896.00	4	1	617.121	33	0.97	0.959137	1	96.58823529
bridge	6	3.368	2	1.75	5644.00	4	1	559.088	34	0.97	0.743553938	1	82.125
brook	5	2.021	3	1.7	3873.00	4	1	731.833	30	0.91	0.924760333	1	93.86666667
brush	5	2.859	3	1.7	4002.00	4	1	639.382	34	1	0.509176813	1	70.625
buck	4	3.236	11	1.35	1904.00	3	1	701.29	31	0.97	0.541446778	0.388888889	68.05555556
bud	3	3.257	13	1.3	875.00	3	1	622.406	32	0.97	0.395292188	0.625	63.4375
buff	4	2.107	4	1.7	1046.00	3	1	683.414	29	0.91	0.406071813	0.625	64.9375
buffer	6	1.935	3	1.85	7779.00	4	2	715.344	32	0.94	0.586487625	0.6875	73.25
buffet	6	2.356	1	2.3	2971.00	4	2	738.419	31	0.97	0.874567357	0.142857143	92.14285714
buggy	5	2.107	3	1.85	1209.00	4	2	676.813	32	0.94	0.6518912	0.866666667	79.2
bull	4	3.147	15	1.15	3170.00	3	1	584.25	32	0.97	0.937219588	1	95.11764706
bully	5	2.567	10	1.45	4714.00	4	2	658.5	32	0.97	0.958900118	1	96.41176471
bunk	4	2.507	12	1.3	2660.00	4	1	640.774	31	0.91	0.847825471	1	90.88235294
burden	6	2.701	0	2	8917.00	4	2	649.719	32	0.94	0.873877438	0.9375	90.3125
