,word,eDom,algorithm.FAN,human.FAN,algorithm.SUBTL,wikipedia
122,gum,65,74,73,77,58
123,hail,64,70,70,63,81
124,halt,81,94,100,61,96
125,ham,84,98,100,56,52
126,hamper,73,80,82,75,88
127,hatch,69,62,62,43,58
128,hawk,75,98,100,59,90
129,haze,65,97,100,81,95
130,heel,88,98,98,80,97
131,hide,73,85,100,84,72
132,hip,73,80,98,72,66
133,hitch,69,63,62,58,74
134,hobby,98,62,100,76,79
135,hop,83,78,100,78,99
136,host,75,64,100,75,98
137,hue,89,95,100,85,99
138,hull,81,82,84,51,88
139,husky,63,61,55,83,67
140,incense,84,92,92,82,83
141,intent,67,68,98,88,99
142,intimate,86,94,100,77,99
143,invalid,77,53,73,55,81
144,jam,60,83,83,77,87
145,jar,80,90,100,59,81
146,jerk,82,81,100,74,90
147,jet,88,98,100,92,95
148,jog,93,100,100,93,85
149,junk,97,87,98,90,93
150,key,86,100,100,84,100
151,knot,98,95,100,94,95
152,lap,63,41,91,80,99
153,lash,82,87,100,91,97
154,launch,81,78,97,92,99
155,lawn,97,96,100,91,100
156,lay,67,71,85,89,83
157,lead,65,56,54,79,99
158,league,84,96,100,92,100
159,lean,65,74,82,61,81
160,lighter,91,89,91,85,86
161,limb,85,92,100,92,89
162,lime,82,92,92,57,73
163,limp,62,54,51,54,80
164,list,96,100,100,87,100
165,liver,81,88,100,51,91
166,loaf,69,68,68,67,79
167,lock,77,98,100,91,100
168,log,74,100,100,87,100
169,low,95,93,100,88,100
170,lumber,78,97,100,95,99
171,mail,83,98,100,95,99
172,mare,98,95,100,88,62
173,mark,93,98,90,87,100
174,maroon,79,78,80,71,62
175,mat,70,54,100,88,99
176,match,64,55,59,95,100
177,mate,76,100,100,88,100
178,meal,83,100,100,92,98
179,meter,52,56,70,52,40
180,mill,94,96,96,82,95
181,mint,70,66,76,73,87
182,mood,79,92,100,54,57
183,mow,95,91,100,89,97
184,mule,97,90,100,81,68
185,multiply,82,90,100,95,99
186,nag,92,72,94,56,66
187,nap,95,94,98,92,89
188,net,73,76,75,83,58
189,novel,76,100,93,81,99
190,nun,95,98,100,89,98
191,opera,99,100,100,90,100
192,ounce,98,98,100,95,100
193,pad,79,87,100,68,80
194,page,86,80,95,68,51
195,painter,96,87,100,65,98
196,palm,69,64,62,79,76
197,paste,94,100,100,57,76
198,pat,90,93,93,70,57
199,pawn,60,91,98,96,98
200,peel,91,88,100,58,62
201,peer,69,63,79,68,97
202,pen,78,100,100,51,79
203,pet,93,96,96,93,100
204,piano,91,62,100,88,96
205,pie,99,100,100,94,100
206,pike,58,48,31,78,53
207,pile,79,52,96,79,79
208,pine,77,98,100,61,86
209,pink,98,86,92,89,100
210,pipe,88,87,100,78,92
211,pit,75,73,83,89,100
212,pitch,88,100,100,85,90
213,pitcher,63,54,54,65,93
214,plane,83,100,100,86,99
215,plot,68,91,95,81,96
216,poker,74,91,98,68,94
217,policy,60,90,87,88,100
218,pool,64,83,90,89,94
219,pop,51,73,74,88,56
220,port,48,70,82,38,87
221,post,43,61,78,66,57
222,pot,62,89,80,93,100
223,pound,51,45,45,59,76
224,prayer,83,98,98,84,100
225,present,53,53,53,67,100
226,press,91,95,100,86,99
227,pro,72,59,61,81,92
228,prune,68,83,97,59,65
229,pump,82,76,88,53,97
230,pupil,70,82,82,57,81
231,quack,75,92,91,79,89
232,quail,83,96,100,53,93
233,race,54,59,57,73,80
234,raft,97,98,100,90,99
235,rag,64,93,95,91,94
236,rail,82,93,100,45,96
237,rake,84,90,100,93,96
238,rank,75,86,86,93,100
239,rap,80,77,94,83,73
240,rape,94,96,100,87,99
241,rare,67,66,76,73,98
242,rash,62,89,95,95,99
243,rate,84,100,100,91,100
244,ray,79,80,81,94,98
245,rear,70,96,100,96,100
246,reef,87,100,100,89,76
247,reel,82,95,100,53,94
248,refrain,67,90,95,88,77
249,refuse,79,48,93,92,92
250,relief,89,80,87,78,91
251,rent,90,83,100,60,93
252,repair,96,89,100,59,81
253,rib,92,74,100,58,98
254,riddle,88,98,100,84,92
255,rifle,85,93,100,70,97
256,ring,54,80,80,56,98
257,rip,75,95,94,83,86
258,roach,90,77,100,94,99
259,rock,54,58,56,60,72
260,rocket,99,100,100,90,99
261,root,57,89,100,51,98
262,rose,62,88,100,69,70
263,row,56,81,84,85,100
264,rubber,96,63,98,55,78
265,rush,91,100,100,83,99
266,rye,99,100,100,57,92
267,sack,72,95,98,89,92
268,sage,71,62,75,57,80
269,sap,79,100,100,50,83
270,sash,84,97,100,52,69
271,scale,63,68,85,92,99
272,scarf,70,81,100,45,61
273,scrap,65,86,91,79,76
274,scrub,69,95,100,66,95
275,seal,64,56,64,84,90
276,shag,77,89,87,88,87
277,shark,82,80,100,71,68
278,shed,62,50,58,75,73
279,sheet,89,100,100,50,79
280,shiver,90,96,100,83,89
281,shock,84,74,100,80,97
282,shore,89,95,100,65,56
283,shy,94,92,100,84,100
284,sin,91,86,100,75,81
285,size,96,96,100,76,100
286,skate,89,64,96,64,79
287,slick,70,80,97,51,78
288,sling,94,98,100,93,99
289,slip,83,98,100,78,75
290,slug,72,68,88,73,97
291,smelt,74,34,32,85,65
292,sock,72,88,92,74,100
293,soil,63,77,100,83,100
294,sole,67,70,70,61,93
295,sow,80,65,44,70,93
296,spade,74,64,64,83,73
297,span,93,95,100,98,100
298,spank,93,98,100,55,63
299,spell,53,78,82,49,85
300,spike,92,89,80,90,83
301,spill,97,93,100,74,97
302,spit,85,65,100,80,92
303,spray,96,81,100,64,90
304,squash,68,70,67,78,88
305,stable,67,71,65,70,58
306,staff,89,96,98,96,100
307,stake,66,56,87,79,68
308,stalk,69,58,57,69,72
309,stall,60,71,54,81,98
310,staple,75,80,94,88,63
311,steep,88,83,94,73,97
312,steer,86,61,61,91,98
313,stem,74,100,100,82,98
314,stern,70,87,86,100,100
