"","NumInterp","verbInterp","nounInterp","coltN","OLD","nPhon","nSyll","Length","LgSUBTLWF","Ortho_N","BG_Sum","NumMeanings","NumSenses","eDom_Biggest","algorithm.FAN_Biggest","human.FAN_Biggest","algorithm.SUBTL_Biggest","Wikipedia_Biggest"
"37",14,4,6,4,1.7,4,1,5,2.859,3,4002,2,10,71,98,100,92,87
"38",9,7,5,18,1,3,1,4,3.236,11,1904,4,13,68,65,62,83,77
"39",4,3,5,26,1,3,1,3,3.257,13,875,2,8,63,100,53,65,89
"40",3,0,2,6,1.7,4,2,5,2.107,3,1209,2,4,79,89,100,89,100
"41",15,1,6,18,1,3,1,4,3.147,15,3170,2,10,95,100,100,89,98
"42",4,2,2,15,1.2,4,2,5,2.567,10,4714,2,6,96,80,98,87,99
"43",6,1,4,1,1.9,4,2,6,2.701,0,8917,2,5,90,96,100,85,97
"44",7,3,1,21,1,3,1,3,3.578,8,1986,2,4,78,100,100,81,100
"45",9,1,5,14,1.05,3,1,4,2.858,10,3281,2,6,87,88,86,72,86
"46",12,7,7,10,1.3,3,1,4,3.294,5,2132,4,14,65,39,88,60,83
"47",4,0,4,28,1,3,1,3,3.262,15,2809,2,4,97,100,100,86,99
"48",4,0,3,8,1.4,3,1,4,2.182,3,4968,2,3,64,81,81,80,79
"49",12,3,5,11,1,4,1,4,3.417,8,3626,2,9,90,83,95,73,99
"50",10,5,7,30,1,3,1,3,2.981,18,2676,2,12,80,100,100,94,100
"51",2,0,2,20,1,3,1,4,2.624,14,4339,2,2,72,63,86,82,93
"52",11,0,5,2,2.15,6,3,7,2.812,1,10615,2,11,91,94,100,92,100
"53",13,1,5,21,1,3,1,4,3.639,12,5396,2,6,91,100,100,92,100
"54",4,1,2,1,1.85,5,2,7,2.225,0,13051,2,3,98,89,96,62,64
"55",10,0,5,38,1,3,1,3,3.529,18,5984,2,5,92,100,100,89,99
"56",6,7,5,5,1.4,3,1,5,3.224,5,6145,3,12,86,96,86,78,99
"57",2,0,3,4,1.7,3,1,5,2.581,1,9326,3,3,96,92,100,94,100
"58",14,2,6,14,1.05,3,1,4,3.022,8,3129,2,8,75,97,100,65,93
"59",10,6,4,14,1,3,1,4,2.842,7,3462,3,10,82,86,100,88,100
"60",7,5,5,6,1.55,3,1,5,3.04,6,3193,3,10,71,58,54,50,93
"61",2,2,2,8,1.4,4,1,5,3.476,8,3639,2,4,96,92,100,89,100
"62",2,0,4,0,2.8,6,2,8,2.745,0,8304,2,6,95,95,100,59,54
"63",3,0,4,14,1.1,4,2,4,2.797,6,5370,2,4,95,94,92,53,83
"64",11,2,3,0,2.25,7,2,7,1.94,0,8269,2,10,83,100,100,90,100
"65",11,6,5,0,2.6,7,2,8,2.559,0,10936,2,14,66,85,94,92,96
"66",5,1,3,1,2.15,6,2,7,2.061,0,14431,2,4,71,50,56,58,96
"67",10,1,6,6,1.65,7,2,7,2.591,5,21326,2,8,66,66,66,59,99
"68",3,2,2,28,1,3,1,3,3.643,17,3224,3,4,87,82,91,53,77
"69",9,2,5,21,1,3,1,4,2.861,11,5700,2,7,89,55,98,57,87
"70",3,0,1,0,2.5,7,3,8,2.905,0,15498,2,2,87,69,69,77,76
"71",11,14,7,3,1.65,4,1,5,3.662,2,9022,3,21,87,81,86,92,99
"72",13,2,6,3,1.8,6,2,7,2.851,1,19579,3,10,60,88,87,60,72
"73",4,1,2,32,1,2,1,3,3.115,18,3159,2,3,96,93,100,55,97
